County name,County FIPS code,Infant center-based price: 2018 ($),Infant center-based price: 2023 (estimated) ($),Infant center-based price as share of family income: 2018 (%),Infant home-based price: 2018 ($),Infant home-based price: 2023 (estimated) ($),Infant home-based price as share of family income: 2018 (%),Toddler center-based price: 2018 ($),Toddler center-based price: 2023 (estimated) ($),Toddler center-based price as share of family income: 2018 (%),Toddler home-based price: 2018 ($),Toddler home-based price: 2023 (estimated) ($),Toddler home-based price as share of family income: 2018 (%),Preschool center-based price: 2018 ($),Preschool center-based price: 2023 (estimated) ($),Preschool center-based price as share of family income: 2018 (%),Preschool home-based price: 2018 ($),Preschool home-based price: 2023 (estimated) ($),Preschool home-based price as share of family income: 2018 (%),School-age center-based price: 2018 ($),School-age center-based price: 2023 (estimated) ($),School-age center-based price as share of family income: 2018 (%),School-age home-based price: 2018 ($),School-age home-based price:  2023 (estimated) ($),School-age home-based price as share of family income: 2018 (%),Women's labor force participation rate (%),Women's median earnings ($),Median family income ($),Percent of families in poverty (%),Total population,Percent Asian (%),Percent Black (%),Percent Hispanic (of any race) (%),Percent White (%)
Adams,39001,7481.76,8806.42,15.97,7331.48,8629.53,15.65,6760.00,7956.87,14.43,6795.88,7999.11,14.50,6240.00,7344.81,13.32,6240.00,7344.81,13.32,3250.00,3825.42,6.94,5468.84,6437.11,11.67,58.30,19199.00,46859.00,16.60,27878.00,0.10,0.40,1.00,97.20
Allen,39003,9412.00,11078.41,15.39,7652.84,9007.79,12.52,8580.00,10099.11,14.03,7280.00,8568.94,11.91,7540.00,8874.97,12.33,6883.24,8101.93,11.26,5200.00,6120.67,8.50,6240.00,7344.81,10.20,76.90,21850.00,61147.00,10.40,103642.00,0.70,11.80,3.00,82.90
Ashland,39005,9412.00,11078.41,14.68,7652.84,9007.79,11.94,8580.00,10099.11,13.39,7280.00,8568.94,11.36,7540.00,8874.97,11.76,6883.24,8101.93,10.74,5200.00,6120.67,8.11,6240.00,7344.81,9.74,75.70,22326.00,64096.00,8.00,53477.00,0.70,0.80,1.30,96.60
Ashtabula,39007,9412.00,11078.41,17.16,7652.84,9007.79,13.96,8580.00,10099.11,15.65,7280.00,8568.94,13.28,7540.00,8874.97,13.75,6883.24,8101.93,12.55,5200.00,6120.67,9.48,6240.00,7344.81,11.38,66.00,23520.00,54839.00,14.20,98136.00,0.50,3.80,4.10,92.70
Athens,39009,9412.00,11078.41,16.14,7652.84,9007.79,13.12,8580.00,10099.11,14.71,7280.00,8568.94,12.49,7540.00,8874.97,12.93,6883.24,8101.93,11.80,5200.00,6120.67,8.92,6240.00,7344.81,10.70,61.90,10774.00,58308.00,17.40,65936.00,2.70,2.90,1.90,90.60
Auglaize,39011,12740.00,14995.64,16.75,8510.84,10017.70,11.19,11180.00,13159.44,14.69,8216.00,9670.66,10.80,9880.00,11629.28,12.99,7800.00,9181.01,10.25,6240.00,7344.81,8.20,6500.00,7650.84,8.54,78.90,27268.00,76082.00,6.90,45784.00,0.40,0.50,1.70,96.70
Belmont,39013,12740.00,14995.64,20.02,8510.84,10017.70,13.37,11180.00,13159.44,17.56,8216.00,9670.66,12.91,9880.00,11629.28,15.52,7800.00,9181.01,12.25,6240.00,7344.81,9.80,6500.00,7650.84,10.21,66.60,22647.00,63651.00,9.00,68472.00,0.40,4.10,0.90,93.20
Brown,39015,7481.76,8806.42,12.09,7331.48,8629.53,11.85,6760.00,7956.87,10.92,6795.88,7999.11,10.98,6240.00,7344.81,10.08,6240.00,7344.81,10.08,3250.00,3825.42,5.25,5468.84,6437.11,8.84,66.30,25720.00,61880.00,12.10,43679.00,0.30,0.80,1.00,97.10
Butler,39017,12740.00,14995.64,15.89,8510.84,10017.70,10.61,11180.00,13159.44,13.94,8216.00,9670.66,10.25,9880.00,11629.28,12.32,7800.00,9181.01,9.73,6240.00,7344.81,7.78,6500.00,7650.84,8.11,73.30,27336.00,80180.00,8.30,378294.00,3.10,8.00,4.60,84.70
Carroll,39019,9412.00,11078.41,14.63,7652.84,9007.79,11.90,8580.00,10099.11,13.34,7280.00,8568.94,11.32,7540.00,8874.97,11.72,6883.24,8101.93,10.70,5200.00,6120.67,8.08,6240.00,7344.81,9.70,67.30,21414.00,64324.00,9.90,27578.00,0.50,0.70,1.30,97.50
Champaign,39021,7481.76,8806.42,11.13,7331.48,8629.53,10.91,6760.00,7956.87,10.06,6795.88,7999.11,10.11,6240.00,7344.81,9.28,6240.00,7344.81,9.28,3250.00,3825.42,4.83,5468.84,6437.11,8.13,72.80,24757.00,67230.00,8.60,38864.00,0.60,1.80,1.50,94.50
Clark,39023,9412.00,11078.41,15.58,7652.84,9007.79,12.67,8580.00,10099.11,14.20,7280.00,8568.94,12.05,7540.00,8874.97,12.48,6883.24,8101.93,11.39,5200.00,6120.67,8.61,6240.00,7344.81,10.33,72.40,23776.00,60409.00,11.40,135198.00,0.60,7.90,3.30,86.80
Clermont,39025,12740.00,14995.64,16.11,8510.84,10017.70,10.76,11180.00,13159.44,14.14,8216.00,9670.66,10.39,9880.00,11629.28,12.49,7800.00,9181.01,9.86,6240.00,7344.81,7.89,6500.00,7650.84,8.22,73.20,30422.00,79074.00,6.60,203216.00,1.20,1.40,1.90,95.10
Clinton,39027,7481.76,8806.42,11.78,7331.48,8629.53,11.54,6760.00,7956.87,10.64,6795.88,7999.11,10.70,6240.00,7344.81,9.82,6240.00,7344.81,9.82,3250.00,3825.42,5.12,5468.84,6437.11,8.61,72.20,24369.00,63529.00,10.10,41896.00,0.50,2.00,1.60,94.30
Columbiana,39029,9412.00,11078.41,15.97,7652.84,9007.79,12.98,8580.00,10099.11,14.56,7280.00,8568.94,12.35,7540.00,8874.97,12.79,6883.24,8101.93,11.68,5200.00,6120.67,8.82,6240.00,7344.81,10.59,70.50,22005.00,58945.00,10.50,104003.00,0.10,2.20,1.70,94.90
Coshocton,39031,7481.76,8806.42,13.93,7331.48,8629.53,13.65,6760.00,7956.87,12.58,6795.88,7999.11,12.65,6240.00,7344.81,11.61,6240.00,7344.81,11.61,3250.00,3825.42,6.05,5468.84,6437.11,10.18,67.60,20935.00,53728.00,10.80,36574.00,0.30,1.10,1.00,96.90
Crawford,39033,7481.76,8806.42,13.53,7331.48,8629.53,13.26,6760.00,7956.87,12.23,6795.88,7999.11,12.29,6240.00,7344.81,11.29,6240.00,7344.81,11.29,3250.00,3825.42,5.88,5468.84,6437.11,9.89,72.90,23609.00,55283.00,10.50,42021.00,0.60,0.90,1.60,96.70
Cuyahoga,39035,12740.00,14995.64,19.25,8510.84,10017.70,12.86,11180.00,13159.44,16.89,8216.00,9670.66,12.42,9880.00,11629.28,14.93,7800.00,9181.01,11.79,6240.00,7344.81,9.43,6500.00,7650.84,9.82,75.40,28917.00,66174.00,13.70,1253783.00,2.90,29.60,5.80,62.60
Darke,39037,9412.00,11078.41,14.83,7652.84,9007.79,12.06,8580.00,10099.11,13.52,7280.00,8568.94,11.47,7540.00,8874.97,11.88,6883.24,8101.93,10.84,5200.00,6120.67,8.19,6240.00,7344.81,9.83,75.30,24004.00,63477.00,6.40,51734.00,0.50,0.70,1.50,97.50
Defiance,39039,7481.76,8806.42,10.93,7331.48,8629.53,10.71,6760.00,7956.87,9.87,6795.88,7999.11,9.92,6240.00,7344.81,9.11,6240.00,7344.81,9.11,3250.00,3825.42,4.75,5468.84,6437.11,7.99,77.60,25973.00,68473.00,7.90,38279.00,0.40,1.90,9.80,91.00
Delaware,39041,12740.00,14995.64,10.41,8510.84,10017.70,6.95,11180.00,13159.44,9.13,8216.00,9670.66,6.71,9880.00,11629.28,8.07,7800.00,9181.01,6.37,6240.00,7344.81,5.10,6500.00,7650.84,5.31,76.10,38494.00,122435.00,3.00,197008.00,5.90,3.30,2.50,87.80
Erie,39043,9412.00,11078.41,14.13,7652.84,9007.79,11.49,8580.00,10099.11,12.88,7280.00,8568.94,10.93,7540.00,8874.97,11.32,6883.24,8101.93,10.33,5200.00,6120.67,7.81,6240.00,7344.81,9.37,75.80,25666.00,66607.00,8.80,75136.00,0.60,9.00,4.30,85.60
Fairfield,39045,12740.00,14995.64,15.98,8510.84,10017.70,10.68,11180.00,13159.44,14.02,8216.00,9670.66,10.31,9880.00,11629.28,12.39,7800.00,9181.01,9.78,6240.00,7344.81,7.83,6500.00,7650.84,8.15,72.30,29251.00,79724.00,7.00,152910.00,1.50,7.10,2.10,87.90
Fayette,39047,7481.76,8806.42,13.58,7331.48,8629.53,13.31,6760.00,7956.87,12.27,6795.88,7999.11,12.34,6240.00,7344.81,11.33,6240.00,7344.81,11.33,3250.00,3825.42,5.90,5468.84,6437.11,9.93,67.50,25477.00,55076.00,12.80,28645.00,0.90,2.00,2.10,93.80
